title,authors,type_of_ban,state,district,date_of_challenge_removal,origin_of_challenge,categories,publishing_date,description,text_snippet
When You Get the Chance,"Ryan, Tom; Stevenson, Robin",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2023-01-24,"When You Get the Chance is a bighearted YA novel about falling in love, making a mess, and learning to let go, from Emma Lord, the New York Times bestselling author of the Reese Witherspoon YA Book Club pick You Have a Match. Most Anticipated Books of 2022 by: Goodreads * Buzzfeed * Bustle * Marie Claire * PopSugar * USA Today * Publishers Weekly * Frolic * The Nerd Daily * Epic Reads * The Young Folks * Book Riot * Young Entertainment * E! News * The Oakland Post * LitReactor * Pop Enquirer **An Indie Next Pick** Nothing will get in the way of Millie Price’s dream of becoming a Broadway star. Not her lovable but super introverted dad, who raised Millie alone since she was a baby. Not her drama club rival, Oliver, who is the very definition of Simmering Romantic Tension. And not her “Millie Moods,” the feelings of intense emotion that threaten to overwhelm. Millie needs an ally. And when an accidentally left-open browser brings Millie to her dad’s embarrassingly moody LiveJournal from 2003, Millie knows just what to do—find her mom. But how can you find a new part of your life and expect it to fit into your old one without leaving any marks? And why is it that when you go looking for the past, it somehow keeps bringing you back to what you’ve had all along? PRAISE FOR EMMA LORD: ""Brimming with energy, rapid-fire banter, and affectionate theater references, this memorable Mamma Mia! retelling...thoughtfully pays homage while skillfully modernizing it for today’s readers."" -Publishers Weekly (starred review) ""Chock-full of musical theater references and humor, the novel includes high-stakes emotional drama that is balanced by supportive friendships and strong, deep family connections...An entertaining personal journey with plot twists galore."" - Kirkus Reviews","&quot; -Publishers Weekly (starred review) &quot;Chock-full of musical theater references and humor, the novel includes high-stakes emotional drama that is balanced by supportive friendships and strong, deep family connections."
"She/He/They/Me: For the Sisters, Misters, and Binary Resisters","Ryle, Robyn",Banned in Libraries and Classrooms,Tennessee,Collierville Schools,February 2022,Administrator,Social Science,2019-03-05,"If you've ever questioned the logic of basing an entire identity around what you have between your legs, it's time to embark on a daring escape outside of the binary box... Open your eyes to what it means to be a boy or a girl — and above and beyond! Within these pages, you get to choose which path to forge. Explore over one hundred different scenarios that embrace nearly every definition across the world, over history, and in the ever-widening realms of our imagination! What if your journey leads you into a world with several genders, or simply one? Do you live in a matriarchal society, or as a sworn virgin in the Balkans? How does gender (or the lack thereof) change the way we approach sex and love, life or death? Jump headfirst into this refreshingly creative exploration of the ways gender colors every shade and shape of our world. Above all, it's more important than ever for us to celebrate the fact that there are infinite gender paths — and each of them is beautiful.","This is a must-read for better understanding and celebrating LGBTQ+, nonbinary, and transgender identities and a great resource for parents of gender queer kids."
"Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor","Saad, Layla F.",Banned in Classrooms,Pennsylvania,Central York School District,August 2021,Administrator,Political Science,2022-02,,"Awareness leads to action, and action leads to change. The numbers show that readers are ready to do this work - let&#39;s give it to them."
"Elizabeth Blackwell, the First Woman Doctor","Sabin, Francene",Banned in Classrooms,Pennsylvania,Central York School District,August 2021,Administrator,Juvenile Nonfiction,2006-09,"""In graphic novel format, tells the story of Elizabeth Blackwell, the first woman to earn a medical degree in the United States""--Provided by publisher.","&quot;In graphic novel format, tells the story of Elizabeth Blackwell, the first woman to earn a medical degree in the United States&quot;--Provided by publisher."
Amal Unbound,"Saeed, Aisha",Banned in Classrooms,Pennsylvania,Central York School District,August 2021,Administrator,Juvenile Fiction,2020-01-07,"A New York Times Bestseller! Amal has big dreams, until a nightmarish encounter . . . Twelve-year-old Amal's dream of becoming a teacher one day is dashed in an instant when she accidentally insults a member of her Pakistani village's ruling family. As punishment for her behavior, she is forced to leave her heartbroken family behind and go work at their estate. Amal is distraught but has faced setbacks before. So she summons her courage and begins navigating the complex rules of life as a servant, with all its attendant jealousies and pecking-order woes. Most troubling, though, is Amal's increasing awareness of the deadly measures the Khan family will go to in order to stay in control. It's clear that their hold over her village will never loosen as long as everyone is too afraid to challenge them--so if Amal is to have any chance of ensuring her loved ones' safety and winning back her freedom, she must find a way to work with the other servants to make it happen.",A New York Times Bestseller!
Bilal Cooks Daal,"Saeed, Aisha",Banned in Classrooms,Pennsylvania,Central York School District,August 2021,Administrator,Juvenile Fiction,2019-06-04,"A Kirkus Reviews Best Picture Book of 2019 An Asian/Pacific American Award for Literature Honor Book 2019 Six-year-old Bilal introduces his friends to his favorite dish—daal!—in this charming picture book that showcases the value of patience, teamwork, community, and sharing. Six-year-old Bilal is excited to help his dad make his favorite food of all-time: daal! The slow-cooked lentil dish from South Asia requires lots of ingredients and a whole lot of waiting. Bilal wants to introduce his friends to daal. They’ve never tried it! As the day goes on, the daal continues to simmer, and more kids join Bilal and his family, waiting to try the tasty dish. And as time passes, Bilal begins to wonder: Will his friends like it as much as he does? This debut picture book by Aisha Saeed, with charming illustrations by Anoosha Syed, uses food as a means of bringing a community together to share in each other’s family traditions.","This debut picture book by Aisha Saeed, with charming illustrations by Anoosha Syed, uses food as a means of bringing a community together to share in each other’s family traditions."
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Series),"Sáenz, Benjamin Alire",Banned Pending Investigation,Florida,Indian River County School District,November 2021,Administrator,Juvenile Fiction,2012-02-21,"Fifteen-year-old Ari Mendoza is an angry loner with a brother in prison, but when he meets Dante and they become friends, Ari starts to ask questions about himself, his parents and his family that he has never asked before.","Fifteen-year-old Ari Mendoza is an angry loner with a brother in prison, but when he meets Dante and they become friends, Ari starts to ask questions about himself, his parents and his family that he has never asked before."
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Series),"Sáenz, Benjamin Alire",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Juvenile Fiction,2012-02-21,"Fifteen-year-old Ari Mendoza is an angry loner with a brother in prison, but when he meets Dante and they become friends, Ari starts to ask questions about himself, his parents and his family that he has never asked before.","Fifteen-year-old Ari Mendoza is an angry loner with a brother in prison, but when he meets Dante and they become friends, Ari starts to ask questions about himself, his parents and his family that he has never asked before."
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Series),"Sáenz, Benjamin Alire",Banned Pending Investigation,Texas,Granbury Independent School District,January 2022,Administrator,Juvenile Fiction,2012-02-21,"Fifteen-year-old Ari Mendoza is an angry loner with a brother in prison, but when he meets Dante and they become friends, Ari starts to ask questions about himself, his parents and his family that he has never asked before.","Fifteen-year-old Ari Mendoza is an angry loner with a brother in prison, but when he meets Dante and they become friends, Ari starts to ask questions about himself, his parents and his family that he has never asked before."
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Series),"Sáenz, Benjamin Alire",Banned Pending Investigation,Texas,Klein Independent School District,December 2021,Administrator,Juvenile Fiction,2012-02-21,"Fifteen-year-old Ari Mendoza is an angry loner with a brother in prison, but when he meets Dante and they become friends, Ari starts to ask questions about himself, his parents and his family that he has never asked before.","Fifteen-year-old Ari Mendoza is an angry loner with a brother in prison, but when he meets Dante and they become friends, Ari starts to ask questions about himself, his parents and his family that he has never asked before."
Aristotle and Dante Dive into the Waters of the World (Aristotle and Dante Series),"Sáenz, Benjamin Alire",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2021-10-12,"A #1 New York Times bestseller Four starred reviews! “Messily human and sincerely insightful.” —Kirkus Reviews (starred review) The highly anticipated sequel to the critically acclaimed, multiple award-winning novel Aristotle and Dante Discover the Secrets of the Universe is an “emotional roller coaster” (School Library Journal, starred review) sure to captivate fans of Adam Silvera and Mary H.K. Choi. In Aristotle and Dante Discover the Secrets of the Universe, two boys in a border town fell in love. Now, they must discover what it means to stay in love and build a relationship in a world that seems to challenge their very existence. Ari has spent all of high school burying who he really is, staying silent and invisible. He expected his senior year to be the same. But something in him cracked open when he fell in love with Dante, and he can’t go back. Suddenly he finds himself reaching out to new friends, standing up to bullies of all kinds, and making his voice heard. And, always, there is Dante, dreamy, witty Dante, who can get on Ari’s nerves and fill him with desire all at once. The boys are determined to forge a path for themselves in a world that doesn’t understand them. But when Ari is faced with a shocking loss, he’ll have to fight like never before to create a life that is truthfully, joyfully his own.","A #1 New York Times bestseller Four starred reviews! “Messily human and sincerely insightful.” —Kirkus Reviews (starred review) The highly anticipated sequel to the critically acclaimed, multiple award-winning novel Aristotle and ..."
The Inexplicable Logic of My Life,"Sáenz, Benjamin Alire",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2018-10-23,"A ""mesmerizing, poetic exploration of family, friendship, love and loss"" from the acclaimed author of Aristotle and Dante Discover the Secrets of the Universe. (New York Times Book Review) Sal used to know his place with his adoptive gay father, their loving Mexican American family, and his best friend, Samantha. But it's senior year, and suddenly Sal is throwing punches, questioning everything, and realizing he no longer knows himself. If Sal's not who he thought he was, who is he? This humor-infused, warmly humane look at universal questions of belonging is a triumph.","&quot;A story set on the American border with Mexico, about family and friendship, life and death, and one teen struggling to understand what his adoption does and doesn&#39;t mean about who he is&quot;--Provided by publisher."
The Story of Rap,"Sagar, Lindsey",Banned in Classrooms,Pennsylvania,Central York School District,August 2021,Administrator,Juvenile Nonfiction,2019-05-07,"Lay down a baby beat and learn all about the history of rap! From Grandmaster Flash to Kendrick Lamar, rap has shaped generations and brought a voice to the voiceless. Bop along with the greats in this adorable baby book that introduces little ones to the rappers that started it all! Parental Advisory: May cause toddlers to develop excessive amounts of swagger.","&quot;This is sooooo adorbs!!&quot; —Missy Elliot on Twitter 2019 National Parenting Product Award Winner From Grandmaster Flash to Kendrick Lamar, rap has shaped generations and brought a voice to the voiceless."
The Moon Within,"Salazar, Aida",Banned Pending Investigation,Florida,Duval County Public Schools,January 2022,Administrator,Juvenile Fiction,2019-02-26,"The dazzling story of a girl navigating friendship, family, and growing up, an Are You There God, It's Me Margaret? for the modern day, from debut author Aida Salazar. ****Four starred reviews!***** ""A worthy successor to Are You There God? It's Me, Margaret set in present-day Oakland."" -- Kirkus Reviews, starred reviewCeli Rivera's life swirls with questions. About her changing body. Her first attraction to a boy. And her best friend's exploration of what it means to be genderfluid.But most of all, her mother's insistence she have a moon ceremony when her first period arrives. It's an ancestral Mexica ritual that Mima and her community have reclaimed, but Celi promises she will NOT be participating. Can she find the power within herself to take a stand for who she wants to be?A dazzling story told with the sensitivity, humor, and brilliant verse of debut talent Aida Salazar.","The dazzling story of a girl navigating friendship, family, and growing up, an Are You There God, It&#39;s Me Margaret? for the modern day, from debut author Aida Salazar. ****Four starred reviews!***** &quot;A worthy successor to Are You There God?"
The Moon Within,"Salazar, Aida",Banned Pending Investigation,Texas,Granbury Independent School District,January 2022,Administrator,Juvenile Fiction,2019-02-26,"The dazzling story of a girl navigating friendship, family, and growing up, an Are You There God, It's Me Margaret? for the modern day, from debut author Aida Salazar. ****Four starred reviews!***** ""A worthy successor to Are You There God? It's Me, Margaret set in present-day Oakland."" -- Kirkus Reviews, starred reviewCeli Rivera's life swirls with questions. About her changing body. Her first attraction to a boy. And her best friend's exploration of what it means to be genderfluid.But most of all, her mother's insistence she have a moon ceremony when her first period arrives. It's an ancestral Mexica ritual that Mima and her community have reclaimed, but Celi promises she will NOT be participating. Can she find the power within herself to take a stand for who she wants to be?A dazzling story told with the sensitivity, humor, and brilliant verse of debut talent Aida Salazar.","The dazzling story of a girl navigating friendship, family, and growing up, an Are You There God, It&#39;s Me Margaret? for the modern day, from debut author Aida Salazar. ****Four starred reviews!***** &quot;A worthy successor to Are You There God?"
The Moon Within,"Salazar, Aida",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,Juvenile Fiction,2019-02-26,"The dazzling story of a girl navigating friendship, family, and growing up, an Are You There God, It's Me Margaret? for the modern day, from debut author Aida Salazar. ****Four starred reviews!***** ""A worthy successor to Are You There God? It's Me, Margaret set in present-day Oakland."" -- Kirkus Reviews, starred reviewCeli Rivera's life swirls with questions. About her changing body. Her first attraction to a boy. And her best friend's exploration of what it means to be genderfluid.But most of all, her mother's insistence she have a moon ceremony when her first period arrives. It's an ancestral Mexica ritual that Mima and her community have reclaimed, but Celi promises she will NOT be participating. Can she find the power within herself to take a stand for who she wants to be?A dazzling story told with the sensitivity, humor, and brilliant verse of debut talent Aida Salazar.","The dazzling story of a girl navigating friendship, family, and growing up, an Are You There God, It&#39;s Me Margaret? for the modern day, from debut author Aida Salazar. ****Four starred reviews!***** &quot;A worthy successor to Are You There God?"
Hold Back the Tide,"Salisbury, Melinda",Banned in Libraries,Texas,Katy Independent School District,January 2022,Administrator,Young Adult Fiction,2021-01-05,"From internationally bestselling, acclaimed author Melinda Salisbury comes a darkly seductive story of murder, betrayal, love, and family secrets in a small town in the Scottish Highlands. Here are the rules of living with a murderer. One: Do not draw attention to yourself. Of course, when you live with a murderer, this is impossible. Even the subtlest of spectres is bound to be noticed. Which leads to the next rule. Two: If you can't be invisible, be useful. Everyone in this quiet lakeside community knows that Alva's father killed her mother, all those years ago. There wasn't enough proof to arrest him, though, and with no other family, Alva's been forced to live with her mother's murderer, doing her best to survive until she can earn enough money to run away. One of her chores is to monitor water levels in the loch-a task her father takes very seriously. Their family has been the guardian of the loch for generations. It's a cold, lonely task, and a few times, Alva can swear she feels someone watching her. But the more Alva investigates, the more she realizes that the truth can be more monstrous than lies, and that you can never escape your past . . .","Since there wasn&#39;t enough proof to convict Alva&#39;s father for the murder of her mother, she&#39;s been forced to live in his house in Ormscaula, Scotland, being raised by the man she holds responsible for her motherlessness."
Can't Take That Away,"Salvatore, Steven",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2021-03-09,"""A charming, inspired story about being true to who you are."" - Phil Stamper, bestselling author of The Gravity of Us An empowering and emotional debut about a genderqueer teen who finds the courage to stand up and speak out for equality when they are discriminated against by their high school administration. Carey Parker dreams of being a diva, and bringing the house down with song. They can hit every note of all the top pop and Broadway hits. But despite their talent, emotional scars from an incident with a homophobic classmate and their grandmother's spiraling dementia make it harder and harder for Carey to find their voice. Then Carey meets Cris, a singer/guitarist who makes Carey feel seen for the first time in their life. With the rush of a promising new romantic relationship, Carey finds the confidence to audition for the role of Elphaba, the Wicked Witch of the West, in the school musical, setting off a chain reaction of prejudice by Carey's tormentor and others in the school. It's up to Carey, Cris, and their friends to defend their rights--and they refuse to be silenced. Told in alternating chapters with identifying pronouns, debut author Steven Salvatore's Can't Take That Away conducts a powerful, uplifting anthem, a swoony romance, and an affirmation of self-identity that will ignite the activist in all of us.","Told in alternating chapters with identifying pronouns, debut author Steven Salvatore&#39;s Can&#39;t Take That Away conducts a powerful, uplifting anthem, a swoony romance, and an affirmation of self-identity that will ignite the activist in all ..."
642 Things to Write About,San Francisco Writers' Grotto,Banned in Classrooms,Ohio,Hudson City Schools,September 2021,Administrator,Juvenile Nonfiction,2014-03-04,"Smart, funny & thought-provoking writing exercises.","Smart, funny &amp; thought-provoking writing exercises."
Bait,"Sanchez, Alex",Banned in Libraries and Classrooms,Florida,Indian River County School District,November 2021,Administrator,Juvenile Fiction,2010-07-06,Diego keeps getting into trouble because of his explosive temper until he finally finds a probation officer who helps him get to the root of his anger so that he can stop running from his past.,Diego keeps getting into trouble because of his explosive temper until he finally finds a probation officer who helps him get to the root of his anger so that he can stop running from his past.
Getting It,"Sanchez, Alex",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,Self-Help,2020-12-29,"An empowering guide to casual sex and hooking up from sex educator and Girl Sex 101 author Allison Moon. A comprehensive and fun-to-read guidebook for people of all sexual identities and experience levels, Getting It covers all the bases of hook-up culture from first moves and sex etiquette to navigating nonmonogamy and sexual health. In an era of endless crossed signals and heightened awareness of consent and respect, award-winning author and sex educator Allison Moon shows you how to achieve safe and enjoyable encounters by practicing clear communication and consideration of all parties involved--yourself included. Getting It helps you understand what casual sex means for you and offers an instructive and empowering deep dive into how to get it, do it well, and feel great about it every step of the way. And since we're all imperfect, Moon offers guidance for how to gracefully recover when you screw up--or get screwed over. Refreshingly intersectional and respectful, Getting It is an honest guide to understanding the basics of hook-up culture and how to partake.","Refreshingly intersectional and respectful, Getting It is an honest guide to understanding the basics of hook-up culture and how to partake."
Rainbow Boys (Rainbow Trilogy Series),"Sanchez, Alex",Banned Pending Investigation,Florida,Indian River County School District,November 2021,Administrator,Juvenile Fiction,2011-03-01,"Jason Carrillo is a jock with a steady girlfriend, but he can't stop dreaming about sex...with other guys. Kyle Meeks doesn't look gay, but he is. And he hopes he never has to tell anyone -- especially his parents. Nelson Glassman is ""out"" to the entire world, but he can't tell the boy he loves that he wants to be more than just friends. Three teenage boys, coming of age and out of the closet. In a revealing debut novel that percolates with passion and wit, Alex Sanchez follows these very different high-school seniors as their struggles with sexuality and intolerance draw them into a triangle of love, betrayal, and ultimately, friendship.","In a revealing debut novel that percolates with passion and wit, Alex Sanchez follows these very different high-school seniors as their struggles with sexuality and intolerance draw them into a triangle of love, betrayal, and ultimately, ..."
Rainbow Boys (Rainbow Trilogy Series),"Sanchez, Alex",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,Juvenile Fiction,2011-03-01,"Jason Carrillo is a jock with a steady girlfriend, but he can't stop dreaming about sex...with other guys. Kyle Meeks doesn't look gay, but he is. And he hopes he never has to tell anyone -- especially his parents. Nelson Glassman is ""out"" to the entire world, but he can't tell the boy he loves that he wants to be more than just friends. Three teenage boys, coming of age and out of the closet. In a revealing debut novel that percolates with passion and wit, Alex Sanchez follows these very different high-school seniors as their struggles with sexuality and intolerance draw them into a triangle of love, betrayal, and ultimately, friendship.","In a revealing debut novel that percolates with passion and wit, Alex Sanchez follows these very different high-school seniors as their struggles with sexuality and intolerance draw them into a triangle of love, betrayal, and ultimately, ..."
Rainbow High (Rainbow Trilogy Series),"Sanchez, Alex",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,"Authors, American",2003,"This sequel to Sanchez's critically acclaimed ""Rainbow Boys"" is a captivating and honest depiction that goes straight to the heart of what it means to be young and gay in America.",This sequel to Sanchez&#39;s critically acclaimed &quot;Rainbow Boys&quot; is a captivating and honest depiction that goes straight to the heart of what it means to be young and gay in America.
Rainbow Road (Rainbow Trilogy Series),"Sanchez, Alex",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,Juvenile Fiction,2011-08-09,"Jason Carrillo, the best-looking athlete in school, has had his eyes on the prize from day one: a scholarship for college. But then his eyes turn to love -- and Kyle. Kyle Meeks, swim team star and all-around good guy, is finally in the relationship he wanted. Being in love feels so good, in fact, that he can't imagine giving it up to go to Princeton. Something he's worked for his entire life. Nelson Glassman, outgoing and defiant, might be HIV positive. Jeremy, the boy he loves, is HIV positive. Although Nelson fears testing positive, if he is infected Jeremy might stop protecting him and pushing him away. They can be together. High shool's almost over. Graduation is ahead. Life's a bowl of cherries, right? Right...","Jason Carrillo, the best-looking athlete in school, has had his eyes on the prize from day one: a scholarship for college."
So Hard to Say,"Sanchez, Alex",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,Juvenile Fiction,2009-10-27,"When Frederick shows up at school, Xio is thrilled. The new boy is shy, cute, and definitely good boyfriend material. Before long, she pulls him into her lively circle of friends. Frederick knows he should be flattered by Xio's attention. After all, she's popular, pretty, and a lot of fun. So why can't he stop thinking about Victor, the captain of the soccer team, instead?","When Frederick shows up at school, Xio is thrilled."
You Brought Me the Ocean,"Sanchez, Alex",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2020-06-09,"The voices that shaped LGBTQ Young Adult literature, Lambda Award-Winning author Alex Sanchez (Rainbow Boys) and New York Times bestselling illustrator Julie Maroh (Blue Is the Warmest Color), present a new coming-out romance and origin story for Aqualad. Jake Hyde doesn't swim--not since his father drowned. Luckily, he lives in Truth or Consequences, New Mexico. Yet he yearns for the ocean and is determined to leave his hometown for a college on the coast. His best friend, Maria, however, wants nothing more than to stay in the desert, and Jake's mother encourages him to always play it safe. There's nothing ""safe"" about Jake's future--not when he's attracted to Kenny Liu, swim team captain and rebel against conformity. And certainly not when he secretly applies to the University of Miami. Jake's life begins to outpace his small town's namesake, which doesn't make it any easier to come out to his mom, or Maria, or the world. But Jake is full of secrets, including the strange blue markings on his skin that glow when in contact with water. What power will he find when he searches for his identity, and will he turn his back to the current or dive headfirst into the waves?","The voices that shaped LGBTQ Young Adult literature, Lambda Award-Winning author Alex Sanchez (Rainbow Boys) and New York Times bestselling illustrator Julie Maroh (Blue Is the Warmest Color), present a new coming-out romance and origin ..."
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",Banned in Libraries,Florida,Indian River County School District,November 2021,Administrator,Young Adult Fiction,2019-03-05,"#1 NEW YORK TIMES BESTSELLER • A “stunning” (America Ferrera) YA novel about a teenager coming to terms with losing her sister and finding herself amid the pressures, expectations, and stereotypes of growing up in a Mexican American home. “Alive and crackling—a gritty tale wrapped in a page-turner. ”—The New York Times Perfect Mexican daughters do not go away to college. And they do not move out of their parents’ house after high school graduation. Perfect Mexican daughters never abandon their family. But Julia is not your perfect Mexican daughter. That was Olga’s role. Then a tragic accident on the busiest street in Chicago leaves Olga dead and Julia left behind to reassemble the shattered pieces of her family. And no one seems to acknowledge that Julia is broken, too. Instead, her mother seems to channel her grief into pointing out every possible way Julia has failed. But it’s not long before Julia discovers that Olga might not have been as perfect as everyone thought. With the help of her best friend Lorena, and her first love, first everything boyfriend Connor, Julia is determined to find out. Was Olga really what she seemed? Or was there more to her sister’s story? And either way, how can Julia even attempt to live up to a seemingly impossible ideal?","#1 NEW YORK TIMES BESTSELLER • A “stunning” (America Ferrera) YA novel about a teenager coming to terms with losing her sister and finding herself amid the pressures, expectations, and stereotypes of growing up in a Mexican American ..."
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",Banned in Libraries,Mississippi,Madison County Schools,April 2022,Administrator,Young Adult Fiction,2019-03-05,"#1 NEW YORK TIMES BESTSELLER • A “stunning” (America Ferrera) YA novel about a teenager coming to terms with losing her sister and finding herself amid the pressures, expectations, and stereotypes of growing up in a Mexican American home. “Alive and crackling—a gritty tale wrapped in a page-turner. ”—The New York Times Perfect Mexican daughters do not go away to college. And they do not move out of their parents’ house after high school graduation. Perfect Mexican daughters never abandon their family. But Julia is not your perfect Mexican daughter. That was Olga’s role. Then a tragic accident on the busiest street in Chicago leaves Olga dead and Julia left behind to reassemble the shattered pieces of her family. And no one seems to acknowledge that Julia is broken, too. Instead, her mother seems to channel her grief into pointing out every possible way Julia has failed. But it’s not long before Julia discovers that Olga might not have been as perfect as everyone thought. With the help of her best friend Lorena, and her first love, first everything boyfriend Connor, Julia is determined to find out. Was Olga really what she seemed? Or was there more to her sister’s story? And either way, how can Julia even attempt to live up to a seemingly impossible ideal?","#1 NEW YORK TIMES BESTSELLER • A “stunning” (America Ferrera) YA novel about a teenager coming to terms with losing her sister and finding herself amid the pressures, expectations, and stereotypes of growing up in a Mexican American ..."
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",Banned in Classrooms,Pennsylvania,Central York School District,August 2021,Administrator,Young Adult Fiction,2019-03-05,"#1 NEW YORK TIMES BESTSELLER • A “stunning” (America Ferrera) YA novel about a teenager coming to terms with losing her sister and finding herself amid the pressures, expectations, and stereotypes of growing up in a Mexican American home. “Alive and crackling—a gritty tale wrapped in a page-turner. ”—The New York Times Perfect Mexican daughters do not go away to college. And they do not move out of their parents’ house after high school graduation. Perfect Mexican daughters never abandon their family. But Julia is not your perfect Mexican daughter. That was Olga’s role. Then a tragic accident on the busiest street in Chicago leaves Olga dead and Julia left behind to reassemble the shattered pieces of her family. And no one seems to acknowledge that Julia is broken, too. Instead, her mother seems to channel her grief into pointing out every possible way Julia has failed. But it’s not long before Julia discovers that Olga might not have been as perfect as everyone thought. With the help of her best friend Lorena, and her first love, first everything boyfriend Connor, Julia is determined to find out. Was Olga really what she seemed? Or was there more to her sister’s story? And either way, how can Julia even attempt to live up to a seemingly impossible ideal?","#1 NEW YORK TIMES BESTSELLER • A “stunning” (America Ferrera) YA novel about a teenager coming to terms with losing her sister and finding herself amid the pressures, expectations, and stereotypes of growing up in a Mexican American ..."
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",Banned in Libraries,Wisconsin,School District of Waukesha,December 2021,Administrator,Young Adult Fiction,2019-03-05,"#1 NEW YORK TIMES BESTSELLER • A “stunning” (America Ferrera) YA novel about a teenager coming to terms with losing her sister and finding herself amid the pressures, expectations, and stereotypes of growing up in a Mexican American home. “Alive and crackling—a gritty tale wrapped in a page-turner. ”—The New York Times Perfect Mexican daughters do not go away to college. And they do not move out of their parents’ house after high school graduation. Perfect Mexican daughters never abandon their family. But Julia is not your perfect Mexican daughter. That was Olga’s role. Then a tragic accident on the busiest street in Chicago leaves Olga dead and Julia left behind to reassemble the shattered pieces of her family. And no one seems to acknowledge that Julia is broken, too. Instead, her mother seems to channel her grief into pointing out every possible way Julia has failed. But it’s not long before Julia discovers that Olga might not have been as perfect as everyone thought. With the help of her best friend Lorena, and her first love, first everything boyfriend Connor, Julia is determined to find out. Was Olga really what she seemed? Or was there more to her sister’s story? And either way, how can Julia even attempt to live up to a seemingly impossible ideal?","#1 NEW YORK TIMES BESTSELLER • A “stunning” (America Ferrera) YA novel about a teenager coming to terms with losing her sister and finding herself amid the pressures, expectations, and stereotypes of growing up in a Mexican American ..."
The (Un)Popular Vote,"Sanchez, Jasper",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2022-05-31,"Red, White, & Royal Blue meets The West Wing in Jasper Sanchez's electric and insightful #ownvoices YA debut, chronicling a transmasculine student's foray into a no-holds-barred student body president election against the wishes of his politician father. Optics can make or break an election. Everything Mark knows about politics, he learned from his father, the Congressman who still pretends he has a daughter and not a son. Mark has promised to keep his past hidden and pretend to be the cis guy everyone assumes he is. But when he sees a manipulatively charming candidate for student body president inflame dangerous rhetoric, Mark risks his low profile to become a political challenger. The problem? No one really knows Mark. He didn't grow up in this town, and his few friends are all nerds. Still, thanks to Scandal and The West Wing, they know where to start: from campaign stops to voter polling to a fashion makeover. Soon Mark feels emboldened to engage with voters--and even start a new romance. But with an investigative journalist digging into his past, a father trying to silence him, and the bully frontrunner standing in his way, Mark will have to decide which matters most: perception or truth, when both are just as dangerous. ""Mind-bogglingly good. This is a novel that every teen needs."" --Kacen Callender, author of Felix Ever After ""Charming, stunning, and unapologetically queer."" --Mason Deaver, bestselling author of I Wish You All the Best and The Ghosts We Keep",Optics can make or break an election.
Peaceful Fights for Equal Rights,"Sanders, Rob",Banned in Classrooms,Pennsylvania,Central York School District,August 2021,Administrator,Juvenile Fiction,2018-09-18,"A primer for peaceful protest, resistance, and activism from the author of Rodzilla and Pride: The Story of Harvey Milk and the Rainbow Flag. Protesting. Standing up for what’s right. Uniting around the common good—kids have questions about all of these things they see and hear about each day. Through sparse and lyrical writing, Rob Sanders introduces abstract concepts like “fighting for what you believe in” and turns them into something actionable. Jared Schorr’s bold, bright illustrations brings the resistance to life making it clear that one person can make a difference. And together, we can accomplish anything.","A primer for peaceful protest, resistance, and activism from the author of Rodzilla and Pride: The Story of Harvey Milk and the Rainbow Flag."
